name,price,rpm,noise_level,color,size
MSI MAG CORELIQUID P360,159.99,"500,2000","14.3,34.3",Black,360
NZXT Kraken M22,89.99,"500,2000","21,36",Black,120
Thermalright Silver Soul 110,35.9,2500,23,Black,
NZXT Kraken 280 RGB,176.99,"500,1500",34.48,Black,280
Corsair H100x,,1700,37,Black,240
Thermaltake Contact 9 SE,19.98,"800,2000",24.5,Black / Silver,
Cooler Master MasterAir MA824 Stealth,99.99,,"0,24.6",Black,
IceGiant ProSiphon Elite,169.99,"300,2300",,Black,
MSI MAG CORELIQUID M240,69.99,"500,2000","14.3,34.3",Black,240
NZXT T120,48.48,"500,1800","17.9,30.6",White,
Alphacool Eisbaer Extreme,216.6,1000,18.8,Black,280
ARCTIC Freezer 34 eSports DUO,45.98,"200,2100",24.4,Red / Black,
Corsair iCUE H150i ELITE CAPELLIX,349.96,2400,"10,37",White,360
Lian Li Galahad II Trinity SL-INF,118.99,2100,29,Black,240
Cooler Master Hyper 212 Black Edition,69.29,"800,2000","6.5,26",,
ARCTIC Liquid Freezer II 420 A-RGB,115,"200,1900",22.5,Black,420
Corsair iCUE H115i RGB ELITE,159.99,"400,1600","19,35.8",Black,280
Deepcool AK400 DIGITAL WH,,"500,1850",28,White,
Deepcool LE720,,"500,2250",32.9,White,360
Deepcool ASSASSIN IV,,"500,1700","22.6,29.3",White,
Thermalright Burst Assassin,22.9,1550,25.6,Gray / Black,
Thermalright Frozen Edge,66.9,2150,28.1,White,360
ID-COOLING SL360,149.99,"500,2000",29.9,White,360
Deepcool Assassin 4S,,"500,1800",29.3,Black,
ID-COOLING IS-55 ARGB,39.99,"500,2000",31.2,Black,
Enermax ETS-N30R-HE,15.99,"600,2800","12,28",,
Vetroo V360,79.98,"800,1800",30.8,White / Gray,360
APNX AP1-V,29.99,"600,1800","16.1,32.8",White,
Thermalright Frozen Infinity 240 ARGB,56.9,2000,28.2,Black,240
Thermalright Burst Assassin 120 SE,20.9,1550,25.6,Black / Silver,
Montech METAL DT24 PREMIUM,41.65,"800,1950",26,Black / Silver,
EK AIO 280 D-RGB,53.99,"500,2000",36.4,Black / Translucent White,280
Thermalright Frozen Edge,47.9,2150,28.1,White,240
