name,price,style,switches,backlit,tenkeyless,connection_type,color
Corsair STRAFE RGB MK.2,,Gaming,Cherry MX Red,RGB,false,Wired,
Logitech PRO X 60,149.99,Mini,Logitech GX Red Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G512 CARBON,99.99,Gaming,Kailh GX Blue,RGB,false,Wired,Black
Ducky Ducky One 2 SF RGB,59,Gaming,Cherry MX Black,RGB,true,Wired,Black
Tecware Phantom 104,55.99,Gaming,Outemu Blue,RGB,false,Wired,Black
Keychron K4 V2,99.99,Standard,Gateron G Pro Blue,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
RK Royal Kludge RK61,49.99,Mini,RK Blue,White,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 RGB MK.2,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Corsair K65 PRO MINI,124.95,Gaming,Corsair OPX,RGB,true,,Black
GameMax Pulse,,Gaming,,Multicolor,false,Wired,Black
Razer BlackWidow 2019,159.68,Gaming,Razer Green,RGB,false,Wired,Black
Ducky ONE 3,,Gaming,Cherry MX Silent Red RGB,RGB,false,Wired,White
Keychron V1 Max,99.99,Mini,Gateron Jupiter Red,,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue
Asus TUF Gaming K3,89.99,Gaming,Kailh Red,RGB,false,Wired,Black
Cooler Master SK650,128.34,Gaming,Cherry MX Low Profile Red,RGB,false,Wired,Black
Glorious GMMK,146.65,Gaming,Gateron Brown,RGB,true,Wired,Black
Logitech G513 Carbon,129.99,Gaming,GX Red,RGB,false,Wired,Black
Razer BlackWidow V4 X,109.99,Gaming,Razer Green,RGB,false,Wired,Black
GAMDIAS HERMES E3,33.87,Gaming,Outemu Blue,RGB,true,Wired,White
Keychron Q6 Pro,229.99,Gaming,Keychron K Pro Red,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black / Blue
Asus ROG Strix Scope,169.53,Gaming,ROG NX Red,RGB,true,Wired,White / Gray
Dell KM5221W,31.24,Standard,,,false,"Wired, Wireless",Black
Logitech MX Keys Gen 2,199.99,Slim,,,false,"Wired, Wired, Wireless, Bluetooth Wireless",
Razer Ornata V2,,Gaming,,RGB,false,Wired,Black
Asus TUF Gaming K7,119.67,Gaming,Optical-mech Tactile,RGB,false,Wired,Black
Rii RK105,,Gaming,,RGB,false,Wired,Black
