name,price,socket,form_factor,max_memory,memory_slots,color
ASRock B650M PG Lightning Wifi,,AM5,Micro ATX,192,4,Silver / Black
Gigabyte Z790M AORUS ELITE AX ICE,199.99,LGA1700,Micro ATX,192,4,White / Silver
Asus PRIME B650M-A WIFI II,230.61,AM5,Micro ATX,192,4,Black / Silver
MSI Z790 GAMING PLUS WIFI,209.99,LGA1700,ATX,192,4,Black
Asus TUF GAMING B650M-E WIFI,,AM5,Micro ATX,192,4,Black
ASRock X670E Pro RS,209.99,AM5,ATX,192,4,Black
Gigabyte X870E AORUS MASTER,499.99,AM5,ATX,256,4,Black
Gigabyte B450M DS3H,147.99,AM4,Micro ATX,128,4,Black / Silver
Asus ProArt Z790-CREATOR WIFI,439.99,LGA1700,ATX,192,4,Black / Copper
MSI PRO B760M-A WIFI DDR4,149.99,LGA1700,Micro ATX,128,4,Black
Asus PRIME H510M-K,133.6,LGA1200,Micro ATX,64,2,Black / Silver
Asus ROG STRIX Z790-H GAMING WIFI,229.99,LGA1700,ATX,192,4,Black
Asus PRIME B660M-A WIFI D4,207.62,LGA1700,Micro ATX,128,4,Silver / Black
Asus PRIME B760M-A AX,139.99,LGA1700,Micro ATX,128,4,Silver / Black
ASRock Fatal1ty B450 Gaming-ITX/ac,142.71,AM4,Mini ITX,64,2,Black / Silver
Gigabyte Z790 AORUS ELITE X WIFI7,249.99,LGA1700,ATX,192,4,Black
MSI MAG Z790 TOMAHAWK MAX WIFI,249.99,LGA1700,ATX,192,4,Black / Yellow
ASRock B550M Steel Legend,133.36,AM4,Micro ATX,128,4,Silver / Black
Gigabyte B650I AX,,AM5,Mini ITX,96,2,Black
Gigabyte H510M K V2,,LGA1200,Micro ATX,64,2,Black / Gray
Gigabyte B550M AORUS ELITE,122.49,AM4,Micro ATX,128,4,Black / Orange
NZXT N7 Z790,239.99,LGA1700,ATX,192,4,Black
Gigabyte B650M GAMING X AX,,AM5,Micro ATX,192,4,Black
MSI MAG B550M MORTAR MAX WIFI,158.99,AM4,Micro ATX,128,4,Silver / Black
Asus ROG STRIX X870E-E GAMING WIFI,499.99,AM5,ATX,192,4,Black
Gigabyte Z790 AORUS ELITE AX ICE,229.99,LGA1700,ATX,192,4,Silver / White
Intel DQ45EK,,LGA775,Mini ITX,4,2,Green / Blue
ASRock B760M-ITX/D4 WiFi,148.99,LGA1700,Mini ITX,64,2,Silver / Black
Gigabyte B760 GAMING X AX,169.99,LGA1700,ATX,192,4,Black / Gray
Gigabyte B650M K,149.32,AM5,Micro ATX,192,4,Brown / Silver
Asus Z790 GAMING WIFI7,179.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte Z390 AORUS PRO WIFI,296.95,LGA1151,ATX,128,4,Black / Silver
ASRock B760 Pro RS/D4,109.99,LGA1700,ATX,128,4,Silver / Black
MSI PRO Z790-VC WIFI,149.99,LGA1700,ATX,192,4,Black
MSI Z390-A PRO,246.18,LGA1151,ATX,128,4,Brown / Black
ASRock B650 PRO RS,172.91,AM5,ATX,192,4,Black / Silver
Gigabyte B760I AORUS PRO,209.99,LGA1700,Mini ITX,96,2,Silver / Black
MSI MPG B650 EDGE WIFI,239.99,AM5,ATX,192,4,Black / Silver
Gigabyte B650 UD AC,164.99,AM5,ATX,192,4,Black / Gray
Gigabyte TRX40 AORUS XTREME,1249.99,sTRX4,XL ATX,256,8,Black / Silver
Asus ROG STRIX TRX40-XE GAMING,,sTRX4,ATX,256,8,Black
MSI MPG Z790I EDGE WIFI,286,LGA1700,Mini ITX,96,2,Silver / Black
Asus ROG STRIX X870-I GAMING WIFI,449,AM5,Mini ITX,96,2,Black
Asus ROG Crosshair VIII Dark Hero,656.92,AM4,ATX,128,4,Black / Silver
ASRock Z790 PRO RS WIFI,158.99,LGA1700,ATX,192,4,Silver / Black
MSI PRO Z690-A WIFI,225.99,LGA1700,ATX,192,4,Black / Silver
Asus PRIME A520M-A II/CSM,79.99,AM4,Micro ATX,128,4,Silver / Black
ASRock B760 Pro RS,129.99,LGA1700,ATX,192,4,Silver / Black
Asus ROG MAXIMUS Z790 FORMULA,,LGA1700,ATX,192,4,Silver / Black
Asus TUF GAMING A620M-PLUS WIFI,149.99,AM5,Micro ATX,192,4,Black / Orange
MSI PRO B650M-B,,AM5,Micro ATX,96,2,Black
Asus ROG STRIX Z790-E GAMING WIFI,379.99,LGA1700,ATX,192,4,Black
MSI B550M PRO-VDH,116.67,AM4,Micro ATX,128,4,Black
ASRock B450M Pro4,199.99,AM4,Micro ATX,128,4,Black / Silver
Gigabyte B550 AORUS ELITE V2,173.77,AM4,ATX,128,4,Black
MSI B450 TOMAHAWK,,AM4,ATX,64,4,Black / Silver
Asus PRIME B760M-A WIFI D4,,LGA1700,Micro ATX,128,4,Silver / Black
Asus ROG MAXIMUS Z790 HERO,449.99,LGA1700,ATX,192,4,Black
Gigabyte X870 AORUS ELITE WIFI7 ICE,274.99,AM5,ATX,256,4,White
Asus P5QL-VM DO/CSM,,LGA775,Micro ATX,16,4,Black / Yellow
Asus PROART B650-CREATOR,229.99,AM5,ATX,192,4,Black / Copper
Asus PRIME A520M-K,78.76,AM4,Micro ATX,64,2,Black / Silver
Gigabyte B650E AORUS STEALTH ICE,,AM5,ATX,192,4,White / Silver
NZXT N7 B550,,AM4,ATX,128,4,White / Black
Asus TUF GAMING X670E-PLUS,388.03,AM5,ATX,192,4,Black / Orange
Asus PRIME Z390-A,249.99,LGA1151,ATX,128,4,Silver / Black
Gigabyte B450 AORUS ELITE V2,130.96,AM4,ATX,128,4,Black
Asus PRIME H610I-PLUS D4-CSM,112.99,LGA1700,Mini ITX,64,2,Silver / Black
Asus PRIME B450M-A,80.17,AM4,Micro ATX,64,4,Black
MSI Z790 PROJECT ZERO,254.99,LGA1700,ATX,256,4,Silver / Black
MSI MEG X670E ACE,901.82,AM5,EATX,192,4,Black / Gold
ASRock A620M-HDV/M.2,69.98,AM5,Micro ATX,96,2,Gray / Black
Asus TUF GAMING B550-PLUS,177.87,AM4,ATX,128,4,Black
Asus PRIME Z790-A WIFI,264.99,LGA1700,ATX,192,4,Black / Silver
MSI B760M GAMING PLUS WIFI,,LGA1700,Micro ATX,192,4,Black / Silver
ASRock B650E STEEL LEGEND WIFI,199.99,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX Z690-A GAMING WIFI D4,385.85,LGA1700,ATX,128,4,Silver / Black
Gigabyte X870E AORUS ELITE WIFI7,319.99,AM5,ATX,256,4,Black
Gigabyte B650M GAMING WIFI,,AM5,Micro ATX,96,2,Black / Silver
MSI B650M GAMING WIFI,,AM5,Micro ATX,96,2,Silver / Black
MSI MEG Z790 GODLIKE MAX,1318.99,LGA1700,EATX,192,4,Black
Gigabyte B760 DS3H AX,139.99,LGA1700,ATX,192,4,Gray / Black
Asus PRIME B650M-R,,AM5,Micro ATX,96,2,Silver / Black
Gigabyte X670E AORUS XTREME (rev. 1.0),968.9,AM5,EATX,256,4,Black
ASRock B450 Steel Legend,99.99,AM4,ATX,64,4,Black / Silver
Gigabyte B450M DS3H V2,117.99,AM4,Micro ATX,128,4,Black
MSI MPG X870E CARBON WIFI,489.99,AM5,ATX,256,4,Black
ASRock Z690 Pro RS,,LGA1700,ATX,128,4,Silver / Black
Gigabyte H610M K DDR4,,LGA1700,Micro ATX,64,2,Black
ASRock B760M Steel Legend WiFi,212.23,LGA1700,Micro ATX,192,4,Silver / Black
MSI B450M-A PRO MAX,,AM4,Micro ATX,64,2,Black
Supermicro X10SLL-F,110,LGA1150,Micro ATX,32,4,Black / Green
Asus TUF GAMING B650-PLUS,,AM5,ATX,128,4,Black / Orange
Gigabyte GA-B250M-DS3H,177.98,LGA1151,Micro ATX,64,4,Black / Gold
Asus PRIME B450M-K II,110.91,AM4,Micro ATX,64,2,Black
MSI Z790 GAMING PRO WIFI,189.99,LGA1700,ATX,192,4,Black
MSI Z490-A PRO,329,LGA1200,ATX,128,4,Black / Silver
ASRock B760M PG SONIC WiFi,,LGA1700,Micro ATX,192,4,Blue / Silver
Asus ROG STRIX Z790-I GAMING WIFI,442.99,LGA1700,Mini ITX,96,2,Black
MSI MPG B760I EDGE WIFI,205.63,LGA1700,Mini ITX,96,2,Black / Silver
Asus PRIME H610M-K D4,109.32,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte H610M S2H V2 DDR4,89.99,LGA1700,Micro ATX,64,2,Black / Gray
ASRock B550 Pro4,122.38,AM4,ATX,128,4,Silver / Black
Asus ROG STRIX X870-A GAMING WIFI,369.99,AM5,ATX,192,4,White
ASRock X570 Phantom Gaming 4S,3106.49,AM4,ATX,128,4,Black
MSI PRO B760-VC WIFI IV,169.95,LGA1700,ATX,256,4,Black / Silver
ASRock B760M Pro RS,124.99,LGA1700,Micro ATX,192,4,Silver / Black
MSI B450 TOMAHAWK MAX II,,AM4,ATX,128,4,Black / Silver
MSI MAG B760M MORTAR WIFI II,179.99,LGA1700,Micro ATX,192,4,Silver / Black
Gigabyte B760 DS3H AC DDR4,129.99,LGA1700,ATX,128,4,Black
Supermicro C7Z170-OCE,95,LGA1151,ATX,64,4,Black / Green
Asus PRIME B660-PLUS D4,171.99,LGA1700,ATX,128,4,Silver / Black
ASRock Z790 Nova WiFi,299.99,LGA1700,ATX,192,4,Black
MSI B550M-A PRO,103.62,AM4,Micro ATX,64,2,Black
ASRock H610M-HDV/M.2+ D5,94.14,LGA1700,Micro ATX,96,2,White / Black
Gigabyte A620M S2H,89.99,AM5,Micro ATX,96,2,Gray / Black
ASRock TRX40 Creator,629.99,sTRX4,ATX,256,8,Black / Silver
Asus ROG STRIX X570-E GAMING WIFI II,609,AM4,ATX,128,4,Black
ASRock A520M-HVS,68.87,AM4,Micro ATX,64,2,Black / Silver
Gigabyte B650E A PRO X USB4,,AM5,ATX,256,4,Black
Gigabyte B650M DS3H,214.09,AM5,Micro ATX,192,4,Brown / Black
MSI MPG X570 GAMING EDGE WIFI,389,AM4,ATX,128,4,Black / Silver
Asus ROG STRIX Z390-E GAMING,406,LGA1151,ATX,128,4,Black
ASRock H310CM-DVS,75.64,LGA1151,Micro ATX,32,2,Black
Asus PRIME Z390-P,184.99,LGA1151,ATX,128,4,Silver / Black
Gigabyte B650E AORUS MASTER,425.99,AM5,ATX,192,4,Black / Silver
Gigabyte X570 AORUS ELITE WIFI,259.99,AM4,ATX,128,4,Black
Gigabyte B760 AORUS ELITE AX,179.99,LGA1700,ATX,192,4,Black
MSI MPG Z790 CARBON WIFI,415.99,LGA1700,ATX,192,4,Black
ASRock Z790 Lightning WiFi,179.99,LGA1700,ATX,256,4,Silver / Black
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),218.99,AM4,ATX,64,4,Black / Silver
MSI MAG B660 TOMAHAWK WIFI DDR4,239.95,LGA1700,ATX,128,4,Black / Silver
MSI PRO B650-VC WIFI,,AM5,ATX,192,4,Black / Silver
Gigabyte X870 AORUS ELITE WIFI7,274.99,AM5,ATX,256,4,Black
Asus PRIME A620-PLUS WIFI6,139.99,AM5,ATX,192,4,Silver / Black
MSI PRO B550-VC,199,AM4,ATX,128,4,Black
ASRock A620M Pro RS,133.41,AM5,Micro ATX,192,4,Silver / Black
Gigabyte Z790 GAMING X AX,209.99,LGA1700,ATX,192,4,Black
ASRock B760M-HDV/M.2 D4,89.99,LGA1700,Micro ATX,64,2,Silver / Black
Asus ROG MAXIMUS Z790 APEX ENCORE,900.64,LGA1700,ATX,96,2,Black
Asus PRIME B550-PLUS AC-HES,,AM4,ATX,128,4,Silver / Black
Asus ROG STRIX Z790-A GAMING WIFI D4,397.03,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z790 AORUS MASTER X,379.99,LGA1700,EATX,192,4,Black
MSI PRO Z690-A DDR4,199.77,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z790 GAMING PLUS AX,169.99,LGA1700,ATX,192,4,Black / Gray
Asus PRIME B450-PLUS,136.06,AM4,ATX,64,4,Black / Silver
ASRock B760M-H/M.2,,LGA1700,Micro ATX,96,2,Silver / Black
Asus ROG STRIX Z590-E GAMING WIFI,519,LGA1200,ATX,128,4,Black
Asus ROG STRIX B550-I GAMING,350,AM4,Mini ITX,64,2,Black
Asus ROG STRIX B550-F GAMING (WI-FI),310.99,AM4,ATX,128,4,Black
Gigabyte Z790 UD AC,179.99,LGA1700,ATX,192,4,Black
Asus TUF GAMING Z790-BTF WIFI,299.99,LGA1700,ATX,192,4,Silver / Black
Asus TUF GAMING Z690-PLUS WIFI,219.99,LGA1700,ATX,192,4,Black / Gray
ASRock B650M PG Lightning,,AM5,Micro ATX,192,4,Silver / Black
Gigabyte B650 EAGLE,,AM5,ATX,192,4,Black / Gray
Asus PRIME B550M-K,135,AM4,Micro ATX,128,4,Black / White
Gigabyte TRX40 AORUS MASTER,649.1,sTRX4,EATX,256,8,Black / Silver
Gigabyte A520 AORUS ELITE,,AM4,ATX,128,4,Black / Orange
MSI MAG X870 TOMAHAWK WIFI,289.99,AM5,ATX,256,4,Black
