name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer Viper,54.85,Optical,Wired,16000,Both,Black / Green
Logitech G903,95.99,Optical,Wireless,12000,Both,Black / Blue
Logitech M185,13.96,Laser,Wireless,,Both,Black
Logitech G203 Prodigy,37.99,Optical,Wired,6000,Right,Black
Mad Catz R.A.T. Pro X3,204.11,Optical,Wired,16000,Right,Black
Logitech G Pro X Superlight,159.99,Optical,Wireless,25400,Right,Red
Endgame Gear OP1 8k,84.99,Optical,Wired,26000,Right,White
Logitech MX Master,194.73,Laser,Bluetooth Wireless,1600,Right,Brown / Black
HP HyperX Pulsefire FPS Pro,47.38,Optical,Wired,16000,Right,Black
Corsair M55,29.99,Optical,Wired,16000,Right,Black
Cooler Master MM710 Glossy Black,22.99,Optical,Wired,16000,Right,Black
Keychron M3,49,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Corsair KATAR PRO XT,34.04,Optical,Wired,12400,Right,Black
Razer DeathAdder V3 Pro Faker Edition,,Optical,"Wired, Wireless",30000,Right,Red / Black
Logitech M510,27.99,Laser,Wireless,1000,Right,Black
SteelSeries Prime+,19.89,Optical,Wired,18000,Right,Black
HP HyperX Pulsefire Haste,60,Optical,Wireless,16000,Right,White
Corsair M65 RGB ULTRA,69.98,Optical,Wired,26000,Right,Black / Silver
SteelSeries Aerox 5,77.98,Optical,Wired,18000,Right,Black
Asus TUF Gaming M4 Air,37.11,Optical,Wired,16000,Right,Black
Logitech M240 Silent,19.98,Optical,Bluetooth Wireless,4000,Both,Black
Razer Naga V2 HyperSpeed,84.99,Optical,"Wireless, Bluetooth Wireless",30000,Right,Black
Razer Viper Ultimate,139.99,Optical,Wireless,20000,Both,Black
Razer Basilisk V2,99.99,Optical,Wired,20000,Right,Black
Corsair SABRE RGB PRO WIRELESS CHAMPION SERIES,179.99,Optical,Wireless,26000,Right,Black
Logitech G203 Lightsync,32.99,Optical,Wired,8000,Right,Purple
Corsair SABRE RGB PRO CHAMPION SERIES,59.99,Optical,Wired,18000,Right,Black
HP HyperX Pulsefire Surge,42.49,Optical,Wired,16000,Right,Black
Microsoft MHC-00001,149.92,Optical,Wireless,,Both,Black
Logitech M570,89.99,Trackball,Wireless,,Right,Black
Corsair M75,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Both,Black
Dell MS116,7.99,Optical,Wired,1000,Both,Black
SteelSeries Aerox 3,76.98,Optical,Bluetooth Wireless,18000,Right,Black
TeckNet M268-Black,,Optical,Wired,3000,Right,Black
MSI Clutch GM11,50.46,Optical,Wired,5000,Right,Black
Logitech M170,10.71,Optical,"Wired, Wireless",1000,Both,Black
HP HyperX Pulsefire Haste 2 Core,44.99,Optical,"Wireless, Bluetooth Wireless",12000,Right,Black
Razer Orochi V2 Quartz,44.99,Optical,Wireless,18000,Right,Pink / Gray
Logitech LIFT,65.99,Optical,"Wireless, Bluetooth Wireless",4000,Right,Black
Glorious Model O-,39.99,Optical,Wired,12000,Right,White
Corsair M65 RGB ULTRA WIRELESS,129.99,Optical,Wireless,26000,Right,
Kensington K72356US,8.59,Optical,Wired,,Both,Black
Logitech G303 SHROUD EDITION,69.98,Optical,Wireless,25000,Right,Black
Corsair DARK CORE RGB PRO,79.12,Optical,Wireless,18000,Right,Black
Razer Naga X,79.99,Optical,Wired,18000,Right,Black
Logitech G305 LIGHTSPEED,44.5,Optical,"Wired, Wireless",12000,Right,Blue / Green
SteelSeries Sensei 310,79.9,Optical,Wired,12000,Both,Black
Asus P704 ROG CHAKRAM,159.99,Optical,Wireless,16000,Right,Black
Logitech G102 LIGHTSYNC RGB,28.01,Optical,Wired,8000,Right,White
Pulsar X2V2,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech G502 Proteus Core,,Optical,Wired,12000,Right,Black / Blue
Razer DeathAdder 2013,49.99,Optical,Wired,6400,Right,Black
Keychron M7,54.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Asus TUF Gaming M3,,Optical,Wired,7000,Right,Black
ROCCAT Kone AIMO Remastered,130.25,Optical,Wired,16000,Right,Black
Keychron M3 Mini,49.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer Mamba Wireless 2018,139.99,Optical,Wireless,16000,Right,Black / Green
Asus ROG Gladius III AimPoint,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,White
Glorious Model D 2 PRO,64.98,Optical,"Wired, Wireless",26000,Right,Black
Logitech G900 CHAOS SPECTRUM,91.55,Optical,Wireless,12000,Both,Black
MSI Clutch GM20 Elite,,Optical,Wired,6400,Right,Black
Razer Basilisk V3 Pro + Wireless Charging Puck,169.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech MX Master 3,,Laser,Wireless,4000,Right,Silver
FinalMouse Ultralight Pro,,Optical,Wired,3200,Right,Black
Logitech G309 LIGHTSPEED,79.98,Optical,"Wireless, Bluetooth Wireless",25600,Right,Black
Logitech G305 LIGHTSPEED,49.99,Optical,"Wired, Wireless",12000,Right,Teal / Purple
Corsair M75 AIR,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
ROCCAT KONE Pro Air,89.49,Optical,Wireless,19000,Right,Black
Corsair KATAR ELITE,44.97,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
ROCCAT Burst Pro,34.19,Optical,Wired,16000,Right,Black
Adesso HC-3003PS,7.95,Optical,Wired,1000,Both,Black
V7 Full size USB Optical Mouse,19.03,Optical,Wired,1000,Both,Silver / Black
Pulsar Xlite V3 Large,,Optical,"Wired, Wireless",2600,Right,Black
Logitech MX MASTER 3,,Laser,"Wired, Wired, Wireless, Bluetooth Wireless",4000,Right,Black
ROCCAT Kone XP Air,84.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,Black
NZXT Lift 2 Ergo,42.91,Optical,Wired,26000,Right,White
Logitech MX518,319.95,Optical,Wired,16000,Right,Black
SteelSeries Aerox 3 (2022),55.33,Optical,Wired,8500,Right,Black
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,White / Blue
Asus TUF Gaming M4 Wireless,58.19,Optical,Wireless,,Right,Black
Anker AK-98ANWVM-BA,22.99,Optical,Wired,1000,Right,Black
Cooler Master MM730,,Optical,Wired,16000,Right,White / Gray
SteelSeries Prime Wireless,61.98,Optical,Wireless,18000,Right,Black
Pulsar X2V2 Mini,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Gigabyte AORUS M5,69,Optical,Wired,16000,Right,Black
Corsair M65 PRO RGB FPS,,Optical,Wired,12000,Right,Black
Razer Lancehead Tournament Edition,124.97,Optical,Wired,16000,Both,Pink
Endgame Gear XM2we,89.99,Optical,"Wired, Wireless",19000,Right,White
Keychron M3 Mini,54.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Razer Mamba Tournament Edition,79.9,Laser,Wired,16000,Right,Black
Razer DeathAdder,,Optical,Wired,3500,Right,Black
Logitech G309 LIGHTSPEED,74.98,Optical,"Wireless, Bluetooth Wireless",25600,Right,White
Cooler Master MM311,34.86,Optical,"Wired, Wireless",10000,Right,White
SteelSeries Prime Mini,32.19,Optical,"Wired, Wireless",18000,Right,Black
Razer Viper Ultimate,94.99,Optical,Wireless,20000,Both,White / Gray
Microsoft Mobile Mouse 6000,299.99,Laser,Wireless,,,Purple
SteelSeries Sensei Ten,79.84,Optical,Wired,18000,Right,Black
Cooler Master MM311,37.63,Optical,"Wired, Wireless",10000,Right,Black
EVGA X12,14.99,Optical,Wired,16000,Both,White / Gray
Cooler Master MM720 Glossy,26.99,Optical,Wired,16000,Right,White
Razer DeathAdder Chroma,69.98,Optical,Wired,10000,Right,Black
Asus ROG Strix Impact II,59.9,Optical,Wired,6200,Right,Black
SteelSeries Rival 500,,Optical,Wired,16000,Right,Black
GameMax Tornado,,Optical,Wired,2000,Right,Black
AOC GM500,31.9,Optical,Wired,5000,Both,Black
SteelSeries Aerox 3 (2022),55.49,Optical,Wired,8500,Right,White
NZXT Lift 2 Symm,39.99,Optical,Wired,26000,Right,Black
NZXT Lift,49.98,Optical,Wired,16000,Right,Black
Kensington SureTrack,21.86,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Both,Gray
Cooler Master MM711 Glossy White,37.13,Optical,Wired,16000,Right,White
MSI CLUTCH,29.99,Optical,Wired,6400,Right,Black
Endgame Gear XM2we,89.99,Optical,"Wired, Wireless",19000,Right,Black
Glorious Model D-,41.99,Optical,Wired,12000,Right,Black
Logitech M185,13.96,Optical,Wireless,,Both,Gray
Logitech PRO 2 LIGHTSPEED,129.99,Optical,"Wired, Wireless",32000,Both,Black
NZXT Lift 2 Ergo,42.36,Optical,Wired,26000,Right,Black
Endgame Gear OP1we,99.99,Optical,"Wired, Wireless",19000,Right,Black
Cherry JM-0300,21.19,Optical,Wired,1000,Both,Black
MSI CLUTCH GM51,129,Optical,"Wired, Wireless",26000,Right,Black
Logitech Signature M650,32.65,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Pink
Dell MS116,19.99,Optical,Wired,1000,Both,Black
UtechSmart Venus,27.99,Laser,Wired,16400,Right,Black
Asus ROG Strix Impact III,39.99,Optical,"Wireless, Bluetooth Wireless",36000,Right,Black
Adesso HC-3003US,7.98,Optical,Wired,1000,Both,Black
Apple MB829LL/A,,Laser,Bluetooth Wireless,,,White
ADATA XPG ALPHA,49.92,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Black
MSI CLUTCH GM31,53.92,Optical,"Wired, Wireless",12000,Right,Black
Lenovo Legion M500 RGB,18.98,Optical,Wired,,Right,Black
HP HyperX Pulsefire Haste 2,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Razer DeathAdder V2 Mini,59.99,Optical,Wired,8500,Right,Black
Cooler Master MM730,43.48,Optical,Wired,16000,Right,Black
Logitech MX Anywhere 3S,79.98,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,White
Razer Naga Left-Handed Edition,99.99,Optical,Wired,20000,Left,Black
Sabrent MS-WRCH,9.78,Optical,Wireless,1600,Right,Black
A4Tech Bloody V7,,Optical,Wired,3200,Both,Black / Red
DLAND ZELOTES,,Optical,Wired,7200,Right,Black
Asus ProArt Mouse MD300,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",4200,Right,Black
HP 200,16.98,Optical,"Wired, Wireless",1000,Both,Black / Silver
Microsoft Optical Mouse 200 for Business,7.99,Optical,Wired,1000,Both,White
Asus ROG Strix Evolve,69.99,Optical,Wired,7200,Both,Black
Logitech M190,14.99,Optical,"Wired, Wireless",1000,Both,Black
NZXT Lift 2 Symm,39.99,Optical,Wired,26000,Right,White
Tempest MS100 Paladin,,Optical,Wired,16000,Both,Black / Red
Glorious Model I,99.97,Optical,Wired,19000,Right,Black / Red
Asus ROG Chakram X,,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black
Logitech MX Master 3,119.99,Laser,Wireless,4000,Right,Black
Corsair M75,59.99,Optical,Wired,26000,Both,Black
Logitech G203 PRODIGY,29.99,Optical,Wired,6000,Right,White
HP HyperX Pulsefire Haste,39.99,Optical,Wired,16000,Right,White / Pink
Endgame Gear OP1,64.98,Optical,Wired,26000,Right,White
Logitech MX Ergo Plus,89.99,Optical,Wireless,440,Right,Black
Glorious Model D-,42.95,Optical,Wired,12000,Right,White
A4Tech Bloody AL90,59.99,Laser,Wired,,Right,Black
Gear Head MP2375BLK,10,Optical,Wireless,,Both,Black
Logitech T400,,Optical,Wireless,,Both,Black
Razer Basilisk,80,Optical,Wired,16000,Right,Black / Green
ROCCAT Kone AIMO Remastered,153.78,Optical,Wired,16000,Right,White
Kensington K64325,63.34,Trackball,Wired,,,Black
Razer Lancehead Tournament Edition,99,Optical,Wired,16000,Both,Black / Green
Logitech MX Anywhere 3S,79.99,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,Black
HP HyperX Pulsefire Haste 2 Core,44.99,Optical,"Wireless, Bluetooth Wireless",12000,Right,White
Endgame Gear OP1,64.98,Optical,Wired,26000,Right,Black
Logitech G603,,Optical,Wireless,12000,Right,Black
AOC AGM700,,Optical,Wired,16000,Right,Black / Silver
ROCCAT Kain 100 Aimo RGB,69.95,Optical,Wired,8500,Right,Black
MSI CLUTCH,27,Optical,Wired,6400,Right,Black
Logitech PRO Wireless,,Optical,Wireless,25600,Both,Black
Logitech G300S,,Optical,Wired,2500,Both,Black / Blue
Corsair DARK CORE RGB,150.19,Optical,Wireless,16000,Right,Black
BenQ Zowie EC2-B,,Optical,Wired,3200,Right,Black
ROCCAT KONE Pro,58,Optical,Wired,19000,Right,White
Razer Viper Ultimate w/Dock,,Optical,Wireless,20000,Both,Yellow / Black
Cooler Master MM831,49.99,Optical,Wireless,32000,Right,Black
Logitech G305 LIGHTSPEED,,Optical,"Wired, Wireless",12000,Right,White / Black
Logitech G203 Lightsync,31.98,Optical,Wired,8000,Right,Blue
Asus ROG Strix Impact III,29.99,Optical,Wired,12000,Right,Black
Sabrent MS-WSML,11.99,Optical,Wireless,1200,Right,Black
Corsair Harpoon RGB,54.99,Optical,Wired,6000,Right,Black
Razer Lancehead,191.15,Laser,Wireless,16000,Both,Black / Green
Cooler Master MM710 Matte Black,,Optical,Wired,16000,Right,Black
Asus ROG Gladius III,109.69,Optical,Wireless,26000,Right,Black
Logitech 910-006581,99.99,Laser,"Wired, Wired, Wireless, Bluetooth Wireless",8000,Right,Black
Logitech Signature M650 L,33.93,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Corsair SABRE PRO CHAMPION SERIES,54.99,Optical,Wired,18000,Right,Black
Logitech PRO X SUPERLIGHT 2 DEX,159,Optical,"Wired, Wireless",44000,Right,Pink
